;115;15.7534%
the;33;4.52055%
and;25;3.42466%
in;23;3.15068%
of;21;2.87671%
to;12;1.64384%
Tolstoy;12;1.64384%
The;11;1.50685%
that;10;1.36986%
was;9;1.23288%
novel;8;1.09589%
as;7;0.958904%
a;7;0.958904%
War;7;0.958904%
Peace;7;0.958904%
published;6;0.821918%
is;6;0.821918%
it;5;0.684932%
into;5;0.684932%
he;5;0.684932%
written;4;0.547945%
version;4;0.547945%
title;4;0.547945%
these;4;0.547945%
s;4;0.547945%
parts;4;0.547945%
his;4;0.547945%
first;4;0.547945%
essays;4;0.547945%
year;3;0.410959%
with;3;0.410959%
part;3;0.410959%
new;3;0.410959%
half;3;0.410959%
from;3;0.410959%
an;3;0.410959%
also;3;0.410959%
Russian;3;0.410959%
He;3;0.410959%
1805;3;0.410959%
wrote;2;0.273973%
writing;2;0.273973%
while;2;0.273973%
way;2;0.273973%
war;2;0.273973%
view;2;0.273973%
under;2;0.273973%
translated;2;0.273973%
this;2;0.273973%
style;2;0.273973%
second;2;0.273973%
records;2;0.273973%
read;2;0.273973%
publication;2;0.273973%
point;2;0.273973%
other;2;0.273973%
not;2;0.273973%
needed;2;0.273973%
may;2;0.273973%
master;2;0.273973%
many;2;0.273973%
life;2;0.273973%
immediately;2;0.273973%
has;2;0.273973%
had;2;0.273973%
for;2;0.273973%
find;2;0.273973%
fictional;2;0.273973%
epilogue;2;0.273973%
ending;2;0.273973%
draft;2;0.273973%
different;2;0.273973%
completed;2;0.273973%
complete;2;0.273973%
citation;2;0.273973%
by;2;0.273973%
be;2;0.273973%
at;2;0.273973%
Vestnik;2;0.273973%
Schopenhauer;2;0.273973%
Russkiy;2;0.273973%
Russia;2;0.273973%
In;2;0.273973%
His;2;0.273973%
French;2;0.273973%
English;2;0.273973%
1869;2;0.273973%
1863;2;0.273973%
10;2;0.273973%
work;1;0.136986%
within;1;0.136986%
wife;1;0.136986%
widely;1;0.136986%
wide;1;0.136986%
why;1;0.136986%
who;1;0.136986%
which;1;0.136986%
whereas;1;0.136986%
what;1;0.136986%
were;1;0.136986%
well;1;0.136986%
visual;1;0.136986%
very;1;0.136986%
versions;1;0.136986%
using;1;0.136986%
use;1;0.136986%
ups;1;0.136986%
unknown;1;0.136986%
two;1;0.136986%
tried;1;0.136986%
time;1;0.136986%
then;1;0.136986%
text;1;0.136986%
techniques;1;0.136986%
swiftly;1;0.136986%
structure;1;0.136986%
strictly;1;0.136986%
story;1;0.136986%
standard;1;0.136986%
sold;1;0.136986%
sister;1;0.136986%
since;1;0.136986%
simply;1;0.136986%
side;1;0.136986%
shots;1;0.136986%
she;1;0.136986%
several;1;0.136986%
seven;1;0.136986%
settled;1;0.136986%
serialized;1;0.136986%
separate;1;0.136986%
seamlessly;1;0.136986%
said;1;0.136986%
rewrote;1;0.136986%
resemble;1;0.136986%
remove;1;0.136986%
related;1;0.136986%
reference;1;0.136986%
rectify;1;0.136986%
ready;1;0.136986%
re;1;0.136986%
proved;1;0.136986%
previous;1;0.136986%
power;1;0.136986%
portrayed;1;0.136986%
periodical;1;0.136986%
period;1;0.136986%
peace;1;0.136986%
panning;1;0.136986%
over;1;0.136986%
out;1;0.136986%
others;1;0.136986%
orthography;1;0.136986%
or;1;0.136986%
only;1;0.136986%
one;1;0.136986%
omissions;1;0.136986%
often;1;0.136986%
noted;1;0.136986%
nature;1;0.136986%
narrative;1;0.136986%
named;1;0.136986%
name;1;0.136986%
moved;1;0.136986%
more;1;0.136986%
mir;1;0.136986%
mid;1;0.136986%
married;1;0.136986%
manuscripts;1;0.136986%
manuscript;1;0.136986%
main;1;0.136986%
literary;1;0.136986%
letter;1;0.136986%
law;1;0.136986%
latter;1;0.136986%
languages;1;0.136986%
la;1;0.136986%
kind;1;0.136986%
its;1;0.136986%
interspersed;1;0.136986%
instrumental;1;0.136986%
inspirations;1;0.136986%
individual;1;0.136986%
increasingly;1;0.136986%
if;1;0.136986%
i;1;0.136986%
history;1;0.136986%
historiography;1;0.136986%
himself;1;0.136986%
heavily;1;0.136986%
have;1;0.136986%
god;1;0.136986%
four;1;0.136986%
following;1;0.136986%
finally;1;0.136986%
fifteen;1;0.136986%
few;1;0.136986%
eye;1;0.136986%
exclusive;1;0.136986%
eventually;1;0.136986%
events;1;0.136986%
even;1;0.136986%
et;1;0.136986%
estate;1;0.136986%
entirely;1;0.136986%
entire;1;0.136986%
edited;1;0.136986%
early;1;0.136986%
eager;1;0.136986%
during;1;0.136986%
drafts;1;0.136986%
down;1;0.136986%
domestic;1;0.136986%
divided;1;0.136986%
dissatisfied;1;0.136986%
dismayed;1;0.136986%
diaries;1;0.136986%
devices;1;0.136986%
detail;1;0.136986%
described;1;0.136986%
defies;1;0.136986%
covered;1;0.136986%
country;1;0.136986%
could;1;0.136986%
copied;1;0.136986%
convention;1;0.136986%
consist;1;0.136986%
considered;1;0.136986%
consciousness;1;0.136986%
concerned;1;0.136986%
comprising;1;0.136986%
comparable;1;0.136986%
close;1;0.136986%
cinema;1;0.136986%
chronicles;1;0.136986%
characters;1;0.136986%
character;1;0.136986%
changed;1;0.136986%
century;1;0.136986%
called;1;0.136986%
buy;1;0.136986%
but;1;0.136986%
bringing;1;0.136986%
borrowed;1;0.136986%
books;1;0.136986%
book;1;0.136986%
between;1;0.136986%
being;1;0.136986%
began;1;0.136986%
before;1;0.136986%
been;1;0.136986%
aspects;1;0.136986%
asking;1;0.136986%
arose;1;0.136986%
are;1;0.136986%
approaches;1;0.136986%
appendix;1;0.136986%
any;1;0.136986%
another;1;0.136986%
annotated;1;0.136986%
although;1;0.136986%
almost;1;0.136986%
allowed;1;0.136986%
after;1;0.136986%
acknowledged;1;0.136986%
abridged;1;0.136986%
about;1;0.136986%
World;1;0.136986%
Will;1;0.136986%
Voyna;1;0.136986%
Twelve;1;0.136986%
Tolstaya;1;0.136986%
Titus;1;0.136986%
These;1;0.136986%
Swedish;1;0.136986%
Suetonius;1;0.136986%
Spanish;1;0.136986%
Sophia;1;0.136986%
September;1;0.136986%
Russians;1;0.136986%
Roughly;1;0.136986%
Representation;1;0.136986%
Proudhon;1;0.136986%
Pierre;1;0.136986%
Paix;1;0.136986%
Napoleonic;1;0.136986%
Messenger;1;0.136986%
La;1;0.136986%
Korean;1;0.136986%
Joseph;1;0.136986%
It;1;0.136986%
However;1;0.136986%
Guerre;1;0.136986%
German;1;0.136986%
Finnish;1;0.136986%
Fet;1;0.136986%
Elizabeth;1;0.136986%
Dutch;1;0.136986%
During;1;0.136986%
Czech;1;0.136986%
Certain;1;0.136986%
Caesars;1;0.136986%
Bers;1;0.136986%
Albanian;1;0.136986%
Afanasy;1;0.136986%
9;1;0.136986%
8;1;0.136986%
5;1;0.136986%
4;1;0.136986%
19th;1;0.136986%
1893;1;0.136986%
1867;1;0.136986%
1866;1;0.136986%
1865;1;0.136986%
1861;1;0.136986%
12;1;0.136986%
119;1;0.136986%
11;1;0.136986%
